  Openness    Imagination    Artistic_Interest    Feelings    Adventurousness    Intellectual_Curiosity    Liberalism    Conscientiousness    Self-Efficacy    Orderliness    Dutifulness    Achievement-Striving    Self-Discipline    Cautiousness    Extroversion    Friendliness    Gregariousness    Assertiveness    Activity_Level    Excitement-Seeking    Cheerfulness    Agreeableness     Trust    Straightforwardness    Altruism    Cooperation    Modesty    Sympathy    Neuroticism    Anxiety    Anger    Depression    Self-Consciousness    Impulsiveness    Vulnerability    Diligence    Detail-Oriented    Responsibility    Ambition    Independence    Dedication    Creativeness    Compassion    Congeniality    Confidence     Grit    Adaptability    Empathy    Curiosity    Leadership    Action-Oriented    Positivity    Honesty    Helpfulness    Cooperation    Humility    Calmness
----------  -------------  -------------------  ----------  -----------------  ------------------------  ------------  -------------------  ---------------  -------------  -------------  ----------------------  -----------------  --------------  --------------  --------------  ----------------  ---------------  ----------------  --------------------  --------------  ---------------  --------  ---------------------  ----------  -------------  ---------  ----------  -------------  ---------  -------  ------------  --------------------  ---------------  ---------------  -----------  -----------------  ----------------  ----------  --------------  ------------  --------------  ------------  --------------  ------------  -------  --------------  ---------  -----------  ------------  -----------------  ------------  ---------  -------------  -------------  ----------  ----------
   8.91551        16.8564              15.3192     6.83814           11.8991                    21.5273       20.0121              6.10932          6.53614        8.27474        14.6535                 10.0219            8.91379         21.3999         5.29675         13.7577           16.8595          5.108            13.412                 12.838          6.91092          7.72361  17.3246                 8.76088     8.42345        18.7277    14.0675     15.1763        5.67781   10.6884   6.67606       7.96274               10.7323          3.737           12.4071       22.1982            19.08            10.9201      15.7471        10.8851       12.4836          25.104        7.29067         9.82229       15.1258  26.0572         23.7233    6.59931      21.4248       5.08411           12.9568        6.77527    8.98699        8.70724        18.6697     13.8098     16.1076
   7.82425        15.5196              10.4961     6.11951           11.5141                    19.9633       21.8401              6.84326          4.79612        6.92753        15.6534                 10.285             9.99456         24.4318         5.79512         12.361            13.9839          4.55856          10.348                 12.6212         7.44633          6.72817  14.8735                 8.08906     8.97094        21.6567    13.2432     16.7171        6.16293    8.91295  7.80088      11.0212                11.7473          3.73275         11.4801       17.4933            17.6027          13.1702      11.7002        12.469        12.6833          20.3158       6.62766         9.4253        13.2447  24.3502         24.1074    5.98777      20.1519       4.59739           10.0749        7.10442    8.17481        9.20328        21.6272     13.4012     19.1486
   9.0253         14.2982              12.5178     5.01182           11.8333                    20.5854       25.3035              7.35117         10.4281        11.3612         16.4437                 10.869             8.37119         26.8984         7.16389         12.9811           17.6107          4.08721          10.2443                14.8782         7.16341          7.37793  11.3904                 8.42289     8.02572        21.5834    15.614      16.1307        5.71048   10.2475   7.1141        6.82427               12.3481          3.32616          9.58777      15.52              21.5059           7.74967     13.6474         9.49295       9.65205         19.0311       6.35635        11.5504        13.5379  27.0238         25.5544    5.26008      20.2065       4.2329             9.80821       7.23029    8.14539        7.80331        21.7762     15.7004     16.8046
   8.05312        14.8027              10.8373     6.69882           10.6994                    19.7089       21.1665              7.71189          9.45735        8.2854         18.3013                 11.1136            9.18725         21.8985         6.32154         12.6776           19.1336          3.80931           9.30512               12.8709         7.69417          6.38142  10.3717                 8.03159     9.57158        19.8735    16.7593     15.3012        6.18248   10.5421   9.16885      10.408                 11.4633          4.25923         11.0767       17.9609            19.0139          10.3168      15.7472        11.8291        9.56544         16.6085       6.21546        10.9808        14.0549  24.452          24.0758    6.7628       19.7833       4.16972            9.32971       7.733      7.97555        9.38445        19.765      16.761      19.2322
   7.58844        14.0645              13.0855     6.34075           11.7499                    20.1314       18.2019              7.78318          9.65654        6.92724        20.4209                 12.955             7.26227         25.3767         5.7003          14.0885           12.2939          3.08467           9.4464                14.5542         7.56009          7.0132   10.9182                10.2669      9.18009        20.9628    15.3879     16.35          5.59003   11.2349   6.88659       9.52136               12.0759          3.65911         10.5335       19.9819            23.2419          10.6944      14.8509        10.9086        9.33883         21.3403       7.37743        11.415         12.2258  28.0757         22.7734    6.18606      20.0362       2.98659            9.52808       7.34064   10.263          8.93583        21.3076     15.7502     20.0756
   7.41209        10.5006              11.9884     5.59411            8.53487                   16.89         19.9982              6.991            8.18597        7.86209        14.6083                 11.2242            9.10746         26.0517         5.18198         13.8401           14.7264          3.72366           9.57611               12.2713         7.4498           5.25874   8.22211                8.39782     8.66705        18.0645    15.0349     12.8221        4.65976    9.6248   6.26609       8.65009               11.6052          3.54875          9.14574      21.4177            18.5738          11.0978      14.0176        11.7174        9.99567         18.3011       5.48488         8.52195       11.1174  26.5937         23.5919    5.87192      16.6718       3.5993             9.59291       7.22406    8.26005        8.49314        18.2548     15.0771     17.3873
   8.13941        14.9757              12.1606     8.01754            8.70108                   18.3901       21.1751              7.54951         10.7378         6.1315         17.6633                 10.5989           10.0529          22.185          6.0761          15.8034           13.7481          5.15436          13.2085                12.434          6.75992          7.59538  12.4914                11.0148      9.26506        19.816     14.6945     16.5161        5.58095   10.5896   7.40842       7.51572               11.6417          3.79523          9.90996      19.8774            16.1115          10.2699      15.3004        12.6133       10.4634          21.3886       6.80242         8.1582        13.9071  20.4912         25.7244    8.21427      18.2727       5.27819           13.1731        6.8847    10.3713         9.32623        19.6587     14.8379     15.7042
   9.11154        17.4564              13.2351     6.73637           10.9531                    19.9197       20.6921              6.45753          9.51092       12.0595         14.9277                 11.3063            7.38032         20.1473         4.10818         12.7209           15.9483          5.79725           8.57514               13.0026         7.12976          6.22287  13.7109                 9.10992     9.07567        19.5295    22.6352     16.2984        6.12313    9.67283  7.42333      14.9827                11.903           4.16585         11.7835       16.8179            19.081           12.2339      16.1869         8.88966      11.6474          21.5925       6.08135        12.9204        17.3816  26.6488         24.0479    6.80602      20.0772       5.67736            8.40911       6.90705    9.07335        9.22109        19.644      22.6344     16.1889
   8.73207        11.9897              14.4679     4.52819            8.90021                   20.7841       20.9348              8.12227         10.0308         8.90086        18.3358                 11.7853           12.629           21.8113         6.33305         11.9124           20.3511          5.16808          11.4058                16.1517         8.26889          6.5125   18.1648                 9.65698     8.73342        19.5538    16.0388     16.8115        5.33542   10.3074   7.78348       8.56367               11.2483          3.05083         11.0342       23.7756            21.899           16.2353      17.2995        16.0483       14.4505          22.1827       6.02686        10.5288        14.7873  26.8401         27.8916    4.70027      20.5071       5.10612           11.4506        8.17195    9.68597        8.59386        19.0125     16.0383     17.3726
   8.85222        20.6993              13.8415     7.02417            9.64312                   21.5055       23.4511              6.2544           5.15432        8.91885        18.3981                 10.4377            7.39762         19.808          6.46797         16.5316           17.2571          4.29366          10.4621                17.2758         6.4282           6.296    14.5333                10.885       9.42805        18.588     11.8965     19.4055        4.94539   10.4708   7.81022       9.68041               12.6682          4.02194         11.6132       20.6592            18.7887           8.68179     12.2683        10.3076        9.41085         21.7845       6.70841         7.34986       11.9334  26.6193         23.8696    6.82676      21.3183       3.99697           10.5713        6.38482   10.6228         9.56176        18.8288     11.8979     14.5655

Average / Standard Deviation

  Openness    Imagination    Artistic_Interest    Feelings    Adventurousness    Intellectual_Curiosity    Liberalism    Conscientiousness    Self-Efficacy    Orderliness    Dutifulness    Achievement-Striving    Self-Discipline    Cautiousness    Extroversion    Friendliness    Gregariousness    Assertiveness    Activity_Level    Excitement-Seeking    Cheerfulness    Agreeableness     Trust    Straightforwardness    Altruism    Cooperation    Modesty    Sympathy    Neuroticism    Anxiety     Anger    Depression    Self-Consciousness    Impulsiveness    Vulnerability    Diligence    Detail-Oriented    Responsibility    Ambition    Independence    Dedication    Creativeness    Compassion    Congeniality    Confidence      Grit    Adaptability    Empathy    Curiosity    Leadership    Action-Oriented    Positivity    Honesty    Helpfulness    Cooperation    Humility    Calmness
----------  -------------  -------------------  ----------  -----------------  ------------------------  ------------  -------------------  ---------------  -------------  -------------  ----------------------  -----------------  --------------  --------------  --------------  ----------------  ---------------  ----------------  --------------------  --------------  ---------------  --------  ---------------------  ----------  -------------  ---------  ----------  -------------  ---------  --------  ------------  --------------------  ---------------  ---------------  -----------  -----------------  ----------------  ----------  --------------  ------------  --------------  ------------  --------------  ------------  --------  --------------  ---------  -----------  ------------  -----------------  ------------  ---------  -------------  -------------  ----------  ----------
  8.36539        15.1163              12.7949     6.29094            10.4428                   19.9406       21.2775              7.11735           8.44941        8.56489       16.9406                11.0597              9.02964        23.0009         5.84449         13.6674           16.1913           4.47848          10.5984               13.8898         7.28115          6.71098   13.2001                 9.26359    8.9341         19.8356    15.5372     16.1529        5.59684   10.2291    7.4338         9.51301             11.7433           3.72969         10.8572       19.5702            19.4898           11.137      14.6765         11.5161       10.9691          20.7649      6.49715         10.0673       13.7316   25.7152          24.536    6.32153      19.845        4.47287            10.4895       7.17562    9.15592        8.92302        19.8545     15.5908     17.2587
  0.601678        2.69835              1.44192    0.971793            1.30114                   1.33773       1.85554             0.658436          2.07815        1.79472        1.87571                0.807598            1.54657         2.37459        0.801647         1.41827           2.40406          0.78878           1.54033               1.65164        0.495258         0.707919   2.97092                1.07179    0.451589        1.17209    2.71653     1.55875       0.482807   0.626274  0.758238       2.19747              0.522709         0.349545         0.992069      2.45635            2.02023           2.24725     1.67405         1.89763       1.66754          2.2324      0.554738         1.64599       1.70663   2.04638          1.3945   0.918226      1.34035      0.789782            1.49188      0.477848   0.966973       0.504431        1.21496     2.71394     1.66662
