  Openness    Imagination    Artistic_Interest    Feelings    Adventurousness    Intellectual_Curiosity    Liberalism    Conscientiousness    Self-Efficacy    Orderliness    Dutifulness    Achievement-Striving    Self-Discipline    Cautiousness    Extroversion    Friendliness    Gregariousness    Assertiveness    Activity_Level    Excitement-Seeking    Cheerfulness    Agreeableness     Trust    Straightforwardness    Altruism    Cooperation    Modesty    Sympathy    Neuroticism    Anxiety     Anger    Depression    Self-Consciousness    Impulsiveness    Vulnerability    Diligence    Detail-Oriented    Responsibility    Ambition    Independence    Dedication    Creativeness    Compassion    Congeniality    Confidence     Grit    Adaptability    Empathy    Curiosity    Leadership    Action-Oriented    Positivity    Honesty    Helpfulness    Cooperation    Humility    Calmness
----------  -------------  -------------------  ----------  -----------------  ------------------------  ------------  -------------------  ---------------  -------------  -------------  ----------------------  -----------------  --------------  --------------  --------------  ----------------  ---------------  ----------------  --------------------  --------------  ---------------  --------  ---------------------  ----------  -------------  ---------  ----------  -------------  ---------  --------  ------------  --------------------  ---------------  ---------------  -----------  -----------------  ----------------  ----------  --------------  ------------  --------------  ------------  --------------  ------------  -------  --------------  ---------  -----------  ------------  -----------------  ------------  ---------  -------------  -------------  ----------  ----------
   8.04454       19.5182              19.5221      5.31746           11.7654                    28.3051       22.7342              8.57527          8.93696       19.0031         28.7132                16.2202            20.6833          28.8995         9.65516        26.495             34.1728          5.05666          15.1014               19.3792          6.67976          6.90196  14.1512                13.3001      9.63439        25.3266   14.1426      27.0086        6.64198    9.88863  10.4736       10.674                17.184            2.76165          9.44821      34.84              27.4109          10.9725      20.0019        23.0139       11.2999          18.8967       5.41108        11.3856       16.4891   26.4683         32.1884    5.31746      28.3046       5.05658           15.1026        6.67582   13.3006         9.63342        25.3172     14.1398     11.9642
   8.23065       18.8004              11.2935      6.03494           10.3856                    21.3888       27.8092              7.15256         12.341          7.54274        18.182                 10.5574             5.78566         20.1419         7.68423        10.7201            23.8897          3.28494           7.18395              22.3258          6.74111          6.32539  10.8836                 9.52171     8.81726        23.6629   15.0804      12.4732        3.5205    10.6997    7.2881        7.18622              11.17             3.09159         11.049        12.0722            21.5434           6.64235     12.7167         7.68304      11.1539          20.2698       5.51323        10.4363       10.9491   17.3783         26.832     6.03494      21.3882       3.28159            7.18458       6.74177    9.52055        8.81777        23.6709     15.0818     13.2833
   7.71449       22.0057              12.1646      5.58684           11.2374                    16.8443       24.2562              7.16574          7.99824       12.3828         17.8396                12.6607             9.70571         19.3561         5.65453        13.2806            17.066           3.70418           9.33159              14.0215          7.68545          4.37674  14.3727                 9.44566     9.85535        20.2287   14.5329      11.1276        3.77643    8.17264   6.67635       8.76588              12.3102           3.26759          8.518        17.6154            19.3372          10.613       15.6408        10.5771       12.6323          21.9283       5.56402        10.3033       15.3537   20.8507         24.9481    5.58684      16.8494       3.70424            9.32569       7.68545    9.4478         9.85234        20.2497     14.5303     15.5443
   7.58433       19.0973              10.1123      5.60064            9.33939                   17.4879       19.8504              7.20995          9.03141       10.397          17.2105                 9.49618            7.41313         22.7648         4.63894        16.9008            14.7331          3.49005          10.3121               16.9236          6.99197          5.36153  18.4841                 7.04472     7.55825        18.7284   16.3          9.1612        4.58213   12.8592    7.47884       8.08345              12.0063           1.91645         13.1008       16.9591            19.3113           9.17578     12.4055        10.0753        8.28141         12.4002       5.59357        10.1355       11.6434   22.0497         21.7563    5.60064      17.4878       3.49331           10.3117        6.9894     7.04171        7.5586         18.7253     16.3057     17.8728
   5.78469       14.2446              15.4512      5.52877            7.253                     23.756        19.1591              6.48267          8.75144       12.6241         16.6037                11.763              6.48002         23.4509         7.98978        20.3478            24.5584          4.27315          14.3113               14.131           8.23468          6.62331  15.9673                10.8065      8.7098         23.3592   17.3365      19.7928        7.39853    9.46423   8.94353      16.4866               14.1334           1.87456         11.6505       15.2436            21.7076           9.60941     14.4858        10.3647        8.39465         16.9731       6.35549        10.1744       13.7068   29.097          24.1961    5.52877      23.753        4.27309           14.3121        8.23463   10.8079         8.7103         23.353      17.3369     22.5481
   7.85715       16.6642              15.3124      5.42954           10.8222                    21.3963       21.3647              7.33621          8.96349       10.2075         25.2554                13.7336             6.18426         20.3646         7.48151        12.9905            15.2134          6.56289          12.5444               17.2943          6.01968          6.89976  18.1738                 9.18347     7.80655        23.0529   21.6827      17.9148        5.74988    9.99213   7.85227       8.18964              10.7165           2.53691         12.6192       22.9512            25.008           11.1046      19.5906         8.09829      12.2099          26.934        4.38916        10.6723       18.1628   33.9596         26.8248    5.42954      21.3886       6.56318           12.5502        6.02147    9.18062        7.8072         22.9896     21.6799     18.6599
   6.93021        8.47375             16.0479      5.70918           10.5101                    15.9334       17.4669              6.74947          8.16223        7.07198        20.3541                11.8498             8.70348         25.4548         6.04719        15.4837            18.8464          4.4915            9.43014              14.1508          4.29018          5.52953   8.74751               13.7437      8.66086        22.3785   19.0539      15.8766        4.21961   14.5034    8.07037       9.92515              12.4167           2.37209         11.2747       25.6744            18.6418          13.4243      18.1942        14.8332       12.2165          25.3142       5.79192        10.4062       13.97     26.35           23.3363    5.70918      15.9361       4.49285            9.42891       4.29067   13.7436         8.66107        22.3614     19.0516     15.1171
   6.62981       12.7691              13.8428      7.68809           10.6151                    19.6087       14.9373              5.31801          9.76502       14.9436         13.554                 13.5479             7.89575         16.7228         5.34309        14.313             11.0873          4.96738          13.0472               17.7592          5.84177          9.05674  13.9438                 7.92463    12.8978         20.8863   14.3765      22.7885        5.04888    8.33114   6.74629       6.76512              13.1834           3.44665          9.96724      19.3873            15.737            9.30046     17.4613         9.57006       8.68422         22.3488      10.4498          7.98163       9.94266  26.4806         22.0377    7.68809      19.6079       4.96673           13.0486        5.84181    7.92261       12.8979         20.9024     14.3822     18.0663
   8.28242       17.1018              11.5697      3.90448            7.57143                   16.6676       16.451               6.70074          5.16656        6.20523        18.7633                11.8646            15.1175          21.8736         5.92253        10.2257            20.5988          3.38367           9.76696               9.64819         7.71597          6.26272  13.5678                 7.74262    11.1902         22.4756   13.1857      15.7918        5.03152   12.6704    5.95934      11.9296                9.85938          2.41772          7.23773      27.3165            17.8227          15.489       16.4421        19.4203       16.0172          18.9055       4.96692        11.6333       11.6414   22.9308         22.4697    3.90448      16.6673       3.38345            9.76676       7.71418    7.74254       11.19           22.4566     13.1862     13.5201
